Aging,Temperature,SOC,Frequency,Z_real,Z_imag
0,22.5,0,0.16011845,5.2731372,0.36774680000000004
0,22.5,0,0.12650184,5.3210892,0.43401687
0,22.5,1,10002.229,2.6186772,-0.9963118900000001
0,22.5,1,7904.959,2.549313,-0.74873754
0,22.5,1,6248.7827,2.6128136,-0.48050909999999997
0,22.5,1,4941.5811,2.6380115,-0.29427601999999997
0,22.5,1,3906.2498,2.6929791,-0.14584673
0,22.5,1,3087.0369,2.7487904,-0.014924352
0,22.5,1,2440.7808,2.8090158,0.091117246
0,22.5,1,1930.6177,2.8688833000000002,0.17499131
0,22.5,1,1525.4882,2.9314924,0.24593613
0,22.5,1,1206.9312,2.9996946,0.30211373999999996
